control_id,family,nist_req_id,title,classification,pilot_status,pilot_status_basis,owner_role,implementation_domain,responsibility,inheritance_source,evidence_location,evidence_regeneration,auditor_requirement
PS.L2-3.9.1,PS,3.9.1,Screen individuals prior to access,Governance / Policy (Class B),Governed (Docs Present; Records Pending),Policy/SOP reference present; operational records not yet attached in evidence vault.,Compliance Officer,process_only,customer,,Evidence vault: \EvidenceVault\CUI-Enclave\governance\PS.L2-3.9.1\,Export checklist records; hash; store,Show: Personnel screening + termination/transfer records. Location: Evidence vault: \EvidenceVault\CUI-Enclave\governance\PS.L2-3.9.1\. Regenerate: Export checklist records; hash; store
PS.L2-3.9.2,PS,3.9.2,Protect systems during/after personnel actions,Governance / Policy (Class B),Governed (Docs Present; Records Pending),Policy/SOP reference present; operational records not yet attached in evidence vault.,Compliance Officer,process_only,customer,,Evidence vault: \EvidenceVault\CUI-Enclave\governance\PS.L2-3.9.2\,Export checklist records; hash; store,Show: Personnel screening + termination/transfer records. Location: Evidence vault: \EvidenceVault\CUI-Enclave\governance\PS.L2-3.9.2\. Regenerate: Export checklist records; hash; store
RA.L2-3.11.1,RA,3.11.1,Periodically assess risk,Governance / Policy (Class B),Governed (Docs Present; Records Pending),Policy/SOP reference present; operational records not yet attached in evidence vault.,Compliance Officer,process_only,customer,,Evidence vault: \EvidenceVault\CUI-Enclave\governance\RA.L2-3.11.1\,Version-controlled docs + approval record,Show: Policy/SOP records supporting RA 3.11.1. Location: Evidence vault: \EvidenceVault\CUI-Enclave\governance\RA.L2-3.11.1\. Regenerate: Version-controlled docs + approval record
RA.L2-3.11.2,RA,3.11.2,Scan for vulnerabilities,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Operational + VM + Azure (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\RA.L2-3.11.2\,Export scan results + remediation logs; hash; store,Show: Vulnerability scan outputs + remediation/patch status evidence. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\RA.L2-3.11.2\. Regenerate: Export scan results + remediation logs; hash; store
RA.L2-3.11.3,RA,3.11.3,Remediate vulnerabilities,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Operational + VM + Azure (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\RA.L2-3.11.3\,Export scan results + remediation logs; hash; store,Show: Vulnerability scan outputs + remediation/patch status evidence. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\RA.L2-3.11.3\. Regenerate: Export scan results + remediation logs; hash; store
SC.L2-3.13.1,SC,3.13.1,Monitor/control/protect communications,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Network boundary is VM+Azure (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\SC.L2-3.13.1\,Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1; hash + store,Show: Firewall profile baseline (firewall.txt) + rules summary (firewall-rules-summary.txt). Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\SC.L2-3.13.1\. Regenerate: Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1; has...
SC.L2-3.13.10,SC,3.13.10,Cryptographic key management,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,azure_resource,shared,Microsoft Azure (resource configuration),Evidence vault: \EvidenceVault\CUI-Enclave\controls\SC.L2-3.13.10\,Export IaC/config + verification; hash; store,Show: VNet/NSG exports + encryption configuration evidence. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\SC.L2-3.13.10\. Regenerate: Export IaC/config + verification; hash; store
SC.L2-3.13.11,SC,3.13.11,FIPS-validated cryptography,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,vm_local,customer,,Evidence vault: \EvidenceVault\CUI-Enclave\controls\SC.L2-3.13.11\,Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1 + C:\hardening\codex-scripts\Test-CuiHardening.ps1; hash + store,Show: FIPS mode registry evidence (fips.txt). Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\SC.L2-3.13.11\. Regenerate: Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1 + C:...
SC.L2-3.13.12,SC,3.13.12,Collaborative computing devices,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Network boundary is VM+Azure (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\SC.L2-3.13.12\,Export IaC/config + verification; hash; store,Show: VNet/NSG exports + encryption configuration evidence. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\SC.L2-3.13.12\. Regenerate: Export IaC/config + verification; hash; store
SC.L2-3.13.13,SC,3.13.13,Control mobile code,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Network boundary is VM+Azure (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\SC.L2-3.13.13\,Export IaC/config + verification; hash; store,Show: VNet/NSG exports + encryption configuration evidence. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\SC.L2-3.13.13\. Regenerate: Export IaC/config + verification; hash; store
SC.L2-3.13.14,SC,3.13.14,Control VoIP,Not Applicable,N/A (Documented),Boundary-tied N/A determination (documented).,ISSO,process_only,customer,,TRUST_CODEX/chapters/02_CUI_Boundary_and_Data_Handling.md + this index,Update boundary statement + record rationale; re-approve,Show: N/A justification memo for SC 3.13.14. Location: TRUST_CODEX/chapters/02_CUI_Boundary_and_Data_Handling.md + this index. Regenerate: Update boundary statement + record rationale; re-approve
SC.L2-3.13.15,SC,3.13.15,Protect authenticity of communications,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Network boundary is VM+Azure (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\SC.L2-3.13.15\,Export IaC/config + verification; hash; store,Show: VNet/NSG exports + encryption configuration evidence. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\SC.L2-3.13.15\. Regenerate: Export IaC/config + verification; hash; store
SC.L2-3.13.16,SC,3.13.16,Protect CUI at rest,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Network boundary is VM+Azure (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\SC.L2-3.13.16\,Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1; hash + store,Show: BitLocker status snapshot (bitlocker-status.txt) — partial at-rest evidence (verify boundary applicability). Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\SC.L2-3.13.16\. Regenerate: Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1; has...
SC.L2-3.13.2,SC,3.13.2,Architectural designs,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Network boundary is VM+Azure (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\SC.L2-3.13.2\,Export IaC/config + verification; hash; store,Show: VNet/NSG exports + encryption configuration evidence. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\SC.L2-3.13.2\. Regenerate: Export IaC/config + verification; hash; store
SC.L2-3.13.3,SC,3.13.3,Separate user/system management,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Network boundary is VM+Azure (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\SC.L2-3.13.3\,Export IaC/config + verification; hash; store,Show: VNet/NSG exports + encryption configuration evidence. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\SC.L2-3.13.3\. Regenerate: Export IaC/config + verification; hash; store
SC.L2-3.13.4,SC,3.13.4,Prevent unauthorized information transfer,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Network boundary is VM+Azure (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\SC.L2-3.13.4\,Export IaC/config + verification; hash; store,Show: VNet/NSG exports + encryption configuration evidence. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\SC.L2-3.13.4\. Regenerate: Export IaC/config + verification; hash; store
SC.L2-3.13.5,SC,3.13.5,Implement subnetworks,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,azure_resource,shared,Microsoft Azure (resource configuration),Evidence vault: \EvidenceVault\CUI-Enclave\controls\SC.L2-3.13.5\,Export IaC/config + verification; hash; store,Show: VNet/NSG exports + encryption configuration evidence. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\SC.L2-3.13.5\. Regenerate: Export IaC/config + verification; hash; store
SC.L2-3.13.6,SC,3.13.6,Deny-by-default network communications,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Network boundary is VM+Azure (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\SC.L2-3.13.6\,Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1 + C:\hardening\codex-scripts\Test-CuiHardening.ps1; hash + store,Show: Deny-by-default inbound posture (firewall.txt). Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\SC.L2-3.13.6\. Regenerate: Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1 + C:...
SC.L2-3.13.7,SC,3.13.7,Prevent remote device dual connections,Not Applicable,N/A (Documented),Boundary-tied N/A determination (documented).,ISSO,process_only,customer,,TRUST_CODEX/chapters/02_CUI_Boundary_and_Data_Handling.md + this index,Update boundary statement + record rationale; re-approve,Show: N/A justification memo for SC 3.13.7. Location: TRUST_CODEX/chapters/02_CUI_Boundary_and_Data_Handling.md + this index. Regenerate: Update boundary statement + record rationale; re-approve
SC.L2-3.13.8,SC,3.13.8,Cryptographic mechanisms for CUI in transit,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Network boundary is VM+Azure (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\SC.L2-3.13.8\,Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1 + C:\hardening\codex-scripts\Test-CuiHardening.ps1; hash + store,Show: TLS/Schannel protocol configuration snapshot (schannel-protocols.txt) + SMB posture (smb-*.txt). Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\SC.L2-3.13.8\. Regenerate: Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1 + C:...
SC.L2-3.13.9,SC,3.13.9,Terminate network connections,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Network boundary is VM+Azure (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\SC.L2-3.13.9\,Export IaC/config + verification; hash; store,Show: VNet/NSG exports + encryption configuration evidence. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\SC.L2-3.13.9\. Regenerate: Export IaC/config + verification; hash; store
SI.L2-3.14.1,SI,3.14.1,Identify/report/correct flaws,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Windows VM + Azure Monitor/SIEM (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\SI.L2-3.14.1\,Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1; hash + store,Show: Installed hotfix snapshot (hotfixes.txt) — partial evidence of patch state. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\SI.L2-3.14.1\. Regenerate: Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1; has...
SI.L2-3.14.2,SI,3.14.2,Malicious code protection,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Windows VM + Azure Monitor/SIEM (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\SI.L2-3.14.2\,Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1; hash + store,Show: Defender status snapshot (defender-status.txt). Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\SI.L2-3.14.2\. Regenerate: Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1; has...
SI.L2-3.14.3,SI,3.14.3,Monitor security alerts,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Windows VM + Azure Monitor/SIEM (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\SI.L2-3.14.3\,Export reports + hash; store,Show: Endpoint protection status + patch compliance + remediation evidence. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\SI.L2-3.14.3\. Regenerate: Export reports + hash; store
SI.L2-3.14.4,SI,3.14.4,Update malicious code protection,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Windows VM + Azure Monitor/SIEM (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\SI.L2-3.14.4\,Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1; hash + store,Show: Defender preferences snapshot (defender-preferences.txt) — update/config posture. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\SI.L2-3.14.4\. Regenerate: Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1; has...
SI.L2-3.14.5,SI,3.14.5,Periodic/real-time scans,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Windows VM + Azure Monitor/SIEM (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\SI.L2-3.14.5\,Export reports + hash; store,Show: Endpoint protection status + patch compliance + remediation evidence. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\SI.L2-3.14.5\. Regenerate: Export reports + hash; store
SI.L2-3.14.6,SI,3.14.6,Monitor systems and communications,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Windows VM + Azure Monitor/SIEM (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\SI.L2-3.14.6\,Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1; hash + store,Show: LSA protection / credential hardening indicators (lsa.txt). Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\SI.L2-3.14.6\. Regenerate: Run C:\hardening\codex-scripts\Collect-Cui-Evidence.ps1; has...
SI.L2-3.14.7,SI,3.14.7,Identify unauthorized use,System-Enforced (Class A),Implemented (Evidenced on Pilot VM),VM evidence + read-only validation PASS. Evidence bundle: C:\evidence\CUI-Evidence-20260212-082524. Validation: \Users\patrick\cui-pilot\evidence\runs\20260212-082524\raw\CUI-Validation-20260212-082524\validation-report.txt/json.,IT Administrator,shared,shared,Windows VM + Azure Monitor/SIEM (shared),Evidence vault: \EvidenceVault\CUI-Enclave\controls\SI.L2-3.14.7\,Export reports + hash; store,Show: Endpoint protection status + patch compliance + remediation evidence. Location: Evidence vault: \EvidenceVault\CUI-Enclave\controls\SI.L2-3.14.7\. Regenerate: Export reports + hash; store
